Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NO2_23,unit
E08000019,419500,400500,6,34,4.644986,ug/m3
E08000019,418500,399500,6,34,4.425973,ug/m3
E08000019,419500,399500,6,34,4.51506,ug/m3
E08000019,420500,399500,6,34,4.657329,ug/m3
E08000019,421500,399500,6,34,4.85261,ug/m3
E08000019,422500,399500,6,34,5.009387,ug/m3
E08000019,423500,399500,6,34,5.516953,ug/m3
E08000019,424500,399500,6,34,6.96249,ug/m3
E08000019,425500,399500,6,34,6.114608,ug/m3
E08000019,426500,399500,6,34,6.266252,ug/m3
E08000019,414500,398500,6,34,4.141168,ug/m3
E08000019,418500,398500,6,34,4.380512,ug/m3
E08000019,419500,398500,6,34,4.472169,ug/m3
E08000019,420500,398500,6,34,4.599865,ug/m3
E08000019,421500,398500,6,34,4.732869,ug/m3
E08000019,422500,398500,6,34,4.901411,ug/m3
E08000019,423500,398500,6,34,5.155982,ug/m3
E08000019,424500,398500,6,34,5.376764,ug/m3
E08000019,425500,398500,6,34,5.863556,ug/m3
E08000019,426500,398500,6,34,6.943562,ug/m3
E08000019,427500,398500,6,34,10.47757,ug/m3
E08000019,428500,398500,6,34,7.626711,ug/m3
E08000019,434500,398500,6,34,8.176277,ug/m3
E08000019,415500,397500,6,34,4.123081,ug/m3
E08000019,416500,397500,6,34,4.137879,ug/m3
E08000019,417500,397500,6,34,4.225304,ug/m3
E08000019,418500,397500,6,34,4.365477,ug/m3
E08000019,419500,397500,6,34,4.440949,ug/m3
E08000019,420500,397500,6,34,4.547907,ug/m3
E08000019,421500,397500,6,34,4.6891,ug/m3
E08000019,422500,397500,6,34,4.848038,ug/m3
E08000019,423500,397500,6,34,5.051338,ug/m3
E08000019,424500,397500,6,34,5.227746,ug/m3
E08000019,425500,397500,6,34,5.487974,ug/m3
E08000019,426500,397500,6,34,6.271345,ug/m3
E08000019,427500,397500,6,34,6.669488,ug/m3
E08000019,428500,397500,6,34,6.940405,ug/m3
E08000019,429500,397500,6,34,6.499586,ug/m3
E08000019,433500,397500,6,7,8.171092,ug/m3
E08000019,434500,397500,6,7,8.693589,ug/m3
E08000019,435500,397500,6,34,9.698353,ug/m3
E08000019,416500,396500,6,34,4.152122,ug/m3
E08000019,417500,396500,6,34,4.23808,ug/m3
E08000019,418500,396500,6,34,4.362792,ug/m3
E08000019,419500,396500,6,34,4.433345,ug/m3
E08000019,420500,396500,6,34,4.537034,ug/m3
E08000019,421500,396500,6,34,4.667424,ug/m3
E08000019,422500,396500,6,34,4.805608,ug/m3
E08000019,423500,396500,6,34,4.951543,ug/m3
E08000019,424500,396500,6,34,5.148324,ug/m3
E08000019,425500,396500,6,34,5.371284,ug/m3
E08000019,426500,396500,6,34,5.679421,ug/m3
E08000019,427500,396500,6,34,5.911973,ug/m3
E08000019,428500,396500,6,34,6.007697,ug/m3
E08000019,429500,396500,6,34,6.308453,ug/m3
