0,1,2,3
1.0,1.0,1898.0,159.0
1.0,3.0,160.0,2443.0
1.0,6.0,1898.0,1810.0
1.0,11.0,2690.0,333.0
1.0,12.0,704.0,3392.0
1.0,13.0,160.0,163.0
1.0,15.0,159.0,2028.0
1.0,16.0,1898.0,3241.0
1.0,18.0,160.0,439.0
1.0,20.0,2690.0,1619.0
1.0,27.0,2690.0,2463.0
1.0,37.0,1997.0,2581.0
1.0,43.0,2690.0,682.0
1.0,44.0,2832.0,1663.0
1.0,46.0,2690.0,1486.0
1.0,50.0,2690.0,89.0
1.0,73.0,704.0,401.0
1.0,86.0,1997.0,1559.0
1.0,88.0,2690.0,688.0
1.0,102.0,2690.0,3306.0
1.0,117.0,1898.0,137.0
1.0,122.0,160.0,569.0
1.0,123.0,2832.0,682.0
1.0,125.0,2832.0,720.0
1.0,128.0,1898.0,2020.0
1.0,142.0,1997.0,685.0
1.0,147.0,160.0,337.0
1.0,163.0,1898.0,201.0
1.0,171.0,2831.0,1543.0
1.0,172.0,2831.0,1223.0
1.0,182.0,2690.0,2598.0
1.0,185.0,704.0,687.0
1.0,200.0,2690.0,735.0
1.0,215.0,160.0,1464.0
1.0,218.0,1997.0,148.0
1.0,221.0,2831.0,165.0
1.0,227.0,2690.0,2184.0
1.0,236.0,1898.0,659.0
1.0,248.0,2690.0,2036.0
1.0,281.0,160.0,3391.0
1.0,310.0,704.0,693.0
2.0,2.0,3454.0,2613.0
2.0,3.0,3264.0,2443.0
2.0,5.0,2613.0,2011.0
2.0,6.0,200.0,2915.0
2.0,7.0,2041.0,3212.0
2.0,8.0,2744.0,2139.0
2.0,10.0,3475.0,613.0
2.0,11.0,2613.0,333.0
2.0,12.0,2613.0,635.0
2.0,14.0,972.0,1176.0
2.0,15.0,2743.0,2030.0
2.0,16.0,3144.0,3240.0
2.0,17.0,2041.0,548.0
2.0,18.0,3455.0,84.0
2.0,19.0,2613.0,256.0
2.0,21.0,3263.0,2100.0
2.0,22.0,2613.0,525.0
2.0,23.0,3430.0,295.0
2.0,24.0,3454.0,208.0
2.0,25.0,718.0,489.0
2.0,27.0,718.0,2463.0
2.0,28.0,972.0,2046.0
2.0,29.0,972.0,3524.0
2.0,37.0,2613.0,403.0
2.0,41.0,3430.0,356.0
2.0,43.0,2613.0,686.0
2.0,44.0,200.0,3592.0
2.0,45.0,3475.0,779.0
2.0,46.0,718.0,1511.0
2.0,47.0,3263.0,603.0
2.0,48.0,3144.0,2597.0
2.0,49.0,3455.0,2569.0
2.0,50.0,3143.0,89.0
2.0,53.0,979.0,909.0
2.0,54.0,2613.0,2542.0
2.0,55.0,3455.0,3845.0
2.0,56.0,2041.0,949.0
2.0,59.0,636.0,1260.0
2.0,61.0,2040.0,3464.0
2.0,62.0,200.0,197.0
2.0,66.0,2040.0,2138.0
2.0,67.0,2744.0,375.0
2.0,68.0,2040.0,440.0
2.0,70.0,2040.0,2193.0
2.0,72.0,2613.0,26.0
2.0,73.0,3263.0,401.0
2.0,74.0,2744.0,2055.0
2.0,78.0,200.0,86.0
2.0,79.0,3455.0,2239.0
2.0,81.0,718.0,948.0
2.0,82.0,2613.0,2577.0
2.0,86.0,3264.0,1559.0
2.0,87.0,2744.0,1447.0
2.0,88.0,979.0,688.0
2.0,89.0,3455.0,3903.0
2.0,91.0,2040.0,3283.0
2.0,95.0,3455.0,3231.0
2.0,96.0,3143.0,2195.0
2.0,98.0,2613.0,1419.0
2.0,100.0,2613.0,2082.0
2.0,101.0,2744.0,1660.0
2.0,102.0,3263.0,3306.0
2.0,103.0,3264.0,2468.0
2.0,106.0,3264.0,241.0
2.0,107.0,3144.0,3109.0
2.0,109.0,3455.0,2985.0
2.0,114.0,2613.0,2045.0
2.0,115.0,3143.0,83.0
2.0,116.0,2614.0,3352.0
2.0,117.0,2613.0,137.0
2.0,118.0,3143.0,352.0
2.0,121.0,3475.0,2966.0
2.0,122.0,3263.0,2009.0
2.0,125.0,2614.0,720.0
2.0,128.0,200.0,2021.0
2.0,129.0,3454.0,862.0
2.0,132.0,2040.0,3204.0
2.0,134.0,2613.0,473.0
2.0,135.0,3454.0,3947.0
2.0,136.0,3455.0,1832.0
2.0,137.0,3143.0,2928.0
2.0,139.0,979.0,2752.0
2.0,140.0,2040.0,2293.0
2.0,143.0,2743.0,2563.0
2.0,147.0,3430.0,337.0
2.0,151.0,200.0,86.0
2.0,152.0,2613.0,3424.0
2.0,153.0,200.0,559.0
2.0,154.0,3144.0,3580.0
2.0,157.0,2613.0,2246.0
2.0,162.0,3264.0,353.0
2.0,163.0,2744.0,2077.0
2.0,166.0,3454.0,3169.0
2.0,167.0,2743.0,53.0
2.0,171.0,2744.0,1543.0
2.0,172.0,2743.0,647.0
2.0,173.0,2041.0,470.0
2.0,174.0,2041.0,1905.0
2.0,177.0,3144.0,413.0
2.0,178.0,718.0,3740.0
2.0,182.0,3454.0,2008.0
2.0,185.0,3263.0,687.0
2.0,186.0,2744.0,2136.0
2.0,187.0,3455.0,2512.0
2.0,188.0,972.0,3422.0
2.0,189.0,3454.0,467.0
2.0,192.0,718.0,2288.0
2.0,194.0,3455.0,1415.0
2.0,195.0,200.0,187.0
2.0,196.0,2613.0,1211.0
2.0,197.0,2744.0,349.0
2.0,198.0,2614.0,826.0
2.0,205.0,3430.0,2717.0
2.0,206.0,2744.0,1892.0
2.0,208.0,2613.0,3628.0
2.0,209.0,2040.0,2134.0
2.0,210.0,718.0,256.0
2.0,213.0,3455.0,829.0
2.0,214.0,2614.0,1870.0
2.0,215.0,2744.0,149.0
2.0,218.0,2744.0,148.0
2.0,223.0,972.0,3874.0
2.0,224.0,636.0,1059.0
2.0,225.0,2744.0,84.0
2.0,227.0,2744.0,2184.0
2.0,235.0,2744.0,564.0
2.0,241.0,2613.0,261.0
2.0,243.0,2040.0,260.0
2.0,247.0,3263.0,3122.0
2.0,250.0,2744.0,1693.0
2.0,252.0,972.0,2200.0
