0,1,2,3
1.0,1.0,105.0,105.0
1.0,3.0,490.0,220.0
1.0,6.0,490.0,66.0
1.0,11.0,112.0,42.0
1.0,12.0,490.0,225.0
1.0,13.0,490.0,120.0
1.0,15.0,490.0,398.0
1.0,16.0,112.0,491.0
1.0,18.0,490.0,37.0
1.0,20.0,490.0,448.0
1.0,27.0,109.0,488.0
1.0,37.0,112.0,321.0
1.0,43.0,109.0,223.0
1.0,44.0,490.0,55.0
1.0,46.0,112.0,499.0
1.0,50.0,112.0,51.0
1.0,73.0,109.0,279.0
1.0,86.0,490.0,88.0
1.0,88.0,112.0,46.0
1.0,102.0,109.0,280.0
1.0,117.0,490.0,72.0
1.0,122.0,490.0,219.0
1.0,123.0,109.0,223.0
1.0,125.0,490.0,44.0
1.0,128.0,112.0,399.0
1.0,142.0,112.0,224.0
1.0,147.0,105.0,176.0
1.0,163.0,112.0,53.0
1.0,171.0,109.0,82.0
1.0,172.0,109.0,438.0
1.0,182.0,490.0,222.0
1.0,185.0,490.0,86.0
1.0,200.0,490.0,503.0
1.0,215.0,112.0,80.0
1.0,218.0,109.0,78.0
1.0,221.0,109.0,79.0
1.0,227.0,490.0,53.0
1.0,236.0,490.0,363.0
1.0,248.0,109.0,494.0
1.0,281.0,109.0,220.0
1.0,310.0,490.0,456.0
2.0,2.0,319.0,319.0
2.0,3.0,320.0,220.0
2.0,5.0,320.0,26.0
2.0,6.0,320.0,269.0
2.0,7.0,320.0,506.0
2.0,8.0,320.0,185.0
2.0,10.0,320.0,354.0
2.0,11.0,320.0,42.0
2.0,12.0,320.0,225.0
2.0,14.0,319.0,68.0
2.0,15.0,319.0,398.0
2.0,16.0,320.0,491.0
2.0,17.0,320.0,293.0
2.0,18.0,320.0,39.0
2.0,19.0,320.0,257.0
2.0,21.0,320.0,15.0
2.0,22.0,319.0,665.0
2.0,23.0,319.0,66.0
2.0,24.0,320.0,19.0
2.0,25.0,320.0,180.0
2.0,27.0,319.0,488.0
2.0,28.0,320.0,732.0
2.0,29.0,319.0,18.0
2.0,37.0,320.0,321.0
2.0,41.0,320.0,277.0
2.0,43.0,320.0,223.0
