class,lanes,width,capacity
UAP1,2,6.1,1020
UAP1,2,6.75,1320
UAP1,2,7.3,1590
UAP1,2,9,1860
UAP1,2,10,2010
UAP1,3,10,2010
UAP1,3,12.3,2550
UAP1,3,13.5,2800
UAP1,4,13.5,2800
UAP1,4,14.6,3050
UAP1,4,18,3300
UAP1,5,18,3300
UAP2,2,6.1,1020
UAP2,2,6.75,1260
UAP2,2,7.3,1470
UAP2,2,9,1550
UAP2,2,10,1650
UAP2,3,10,1650
UAP2,3,12.3,1700
UAP2,3,13.5,1900
UAP2,4,13.5,1900
UAP2,4,14.6,2100
UAP2,4,18,2700
UAP2,5,18,2700
UAP3,2,6.1,900
UAP3,2,6.75,1110
UAP3,2,7.3,1300
UAP3,2,9,1530
UAP3,2,10,1620
UAP3,3,10,1620
UAP4,2,6.1,750
UAP4,2,6.75,900
UAP4,2,7.3,1140
UAP4,2,9,1320
UAP4,2,10,1410
UAP4,3,10,1410
