,CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
458,'R' BUDDY LIMITED,08222874,,,SHERINGHS HOUSE,PARK HOUSE LANE,SHEFFIELD,,,S9 1XA,Private Limited Company,Active,United Kingdom,,20/09/2012,30.0,9.0,30/06/2025,30/09/2023,TOTAL EXEMPTION FULL,18/10/2016,20/09/2015,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/08222874,,,,,,,,,,,,,,,,,,,,,06/03/2025,20/02/2024
678,+ME POSITIVE ABOUT CHANGE,06772710,,,THE CIRCLE,ROCKINGHAM LANE,SHEFFIELD,,ENGLAND,S1 4FW,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,15/12/2008,31.0,3.0,31/12/2025,31/03/2024,TOTAL EXEMPTION FULL,12/01/2017,15/12/2015,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/06772710,,,,,,,,,,,,,,,,,,,,,13/11/2025,30/10/2024
734,.N.S COURIERS NMM LTD,15067915,,,572 ARBOURTHORNE ROAD,,SHEFFIELD,,ENGLAND,S2 2AS,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,13/08/2023,31.0,8.0,13/05/2025,,NO ACCOUNTS FILED,10/09/2024,,0,0,0,0,46180 - Agents specialized in the sale of other particular products,,,,0,0,http://business.data.gov.uk/id/company/15067915,,,,,,,,,,,,,,,,,,,,,26/08/2024,
896,00150707 LIMITED,00150707,,,ALBION WORKS,SAVILE STREET,SHEFFIELD,,,S4 7UL,Private Limited Company,Liquidation,United Kingdom,,12/06/1918,31.0,3.0,31/01/2003,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/00150707,08/02/2019,CLAYTON AND SHUTTLEWORTH LIMITED,,,,,,,,,,,,,,,,,,,,
1377,0114 HOME IMPROVEMENTS LTD,15061163,,,11 LOXLEY VIEW ROAD,,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S10 1QY,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,09/08/2023,31.0,8.0,09/05/2025,,NO ACCOUNTS FILED,06/09/2024,,0,0,0,0,43999 - Other specialised construction activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15061163,,,,,,,,,,,,,,,,,,,,,22/08/2024,
1378,0114 LIMITED,11787801,,,THE CIRCLE,33 ROCKINGHAM LANE,SHEFFIELD,,ENGLAND,S1 4FW,Private Limited Company,Active,United Kingdom,,25/01/2019,31.0,1.0,31/10/2025,31/01/2024,DORMANT,22/02/2020,,0,0,0,0,90030 - Artistic creation,,,,0,0,http://business.data.gov.uk/id/company/11787801,,,,,,,,,,,,,,,,,,,,,07/02/2025,24/01/2024
1432,01344960 LIMITED,01344960,,,4TH FLOOR FOUNTAIN PRECINCT,LEOPOLD STREET,SHEFFIELD,,,S1 2JA,Private Limited Company,Liquidation,United Kingdom,,20/12/1977,31.0,12.0,30/09/2016,31/12/2014,TOTAL EXEMPTION SMALL,09/08/2016,12/07/2015,3,3,0,0,42990 - Construction of other civil engineering projects n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/01344960,22/05/2023,J.C. PLANT HIRE LIMITED,,,,,,,,,,,,,,,,,,,26/07/2016,
1488,01566455 LIMITED,01566455,,,93 QUEEN STREET,,SHEFFIELD,,,S1 1WF,Private Limited Company,Liquidation,United Kingdom,,05/06/1981,31.0,7.0,31/05/2009,31/07/2007,TOTAL EXEMPTION SMALL,01/01/2009,04/12/2007,0,0,0,0,4521 - Gen construction & civil engineer,,,,0,0,http://business.data.gov.uk/id/company/01566455,14/01/2020,HAMILTON CONSTRUCTION LIMITED,,,,,,,,,,,,,,,,,,,,
1535,01694946 LIMITED,01694946,,,KNOWLE HOUSE,4 NORFOLK PARK ROAD,SHEFFIELD,,,S2 3QE,Private Limited Company,Liquidation,United Kingdom,,27/01/1983,31.0,12.0,31/10/1995,31/12/1993,SMALL,09/08/1995,12/07/1994,3,2,0,1,2811 - Manufacture metal structures & parts,,,,0,0,http://business.data.gov.uk/id/company/01694946,11/07/2017,WEBSCO LIMITED,,,,,,,,,,,,,,,,,,,,
1555,01811480 LIMITED,01811480,,,WILSON FIELD THE MANOR HOUSE,260 ECCLESALL ROAD SOUTH,SHEFFIELD,,,S11 9PS,Private Limited Company,Liquidation,United Kingdom,,26/04/1984,30.0,11.0,31/08/2016,30/11/2014,TOTAL EXEMPTION SMALL,29/09/2016,01/09/2015,0,0,0,0,31010 - Manufacture of office and shop furniture,,,,0,0,http://business.data.gov.uk/id/company/01811480,05/05/2021,M. J. SQUIRE LIMITED,,,,,,,,,,,,,,,,,,,15/09/2016,
