u,v,key,osmid,oneway,lanes_OSMNx,ref,highway,maxspeed,reversed,length,bridge,ID,ID_tuple,new_ID,count,speedlim,lanes,width,highway_key,class,road_class,capacity,congFactor,avgSpeed,criticalDensity,u_original,v_original,geometry,idx,u_Old,v_Old,key_Old,name,junction,access,width_OSMNx,suspicious_width,tunnel
0,2,0,"[3059960, 15090337, 3059977, 118514360, 118514106]",True,4,M1,motorway,70 mph,False,3178.3720000000003,yes,"[3059960, 15090337, 3059977, 118514360, 118514106]","(3059960, 15090337, 3059977, 118514360, 118514106)",2,1,112.6538,4.0,9.244928571428574,motorway,UAP1,1,1537.7985401801498,0.6,67.59228,22.751097317328988,318443,318473,"LINESTRING (-1.4162355999999994 53.426879099999994, -1.4444759999999999 53.4493954)","(1, 3, 0)",1,3,0,,,,,,
2,3,0,"[142810533, 24190750]",True,,,motorway_link,70 mph,False,727.9796558138339,,"[142810533, 24190750]","(142810533, 24190750)",6,1,112.6538,2.0,7.169747619047621,motorway_link,UAP1,1,1289.1888288734274,0.6,67.59228,19.073018825129548,318473,261994607,"LINESTRING (-1.4444759999999999 53.4493954, -1.4462396999999998 53.455269699999995, -1.4467362829971904 53.45576227458879)","(3, 5, 0)",3,5,0,,,,,,
1,685,0,"[56227891, 1285192876]",False,,A631,primary,,False,991.0114395528634,,"[56227891, 1285192876]","(56227891, 1285192876)",2298,2,96.5604,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,28.96812,36.06040572193207,246897925,246897932,"LINESTRING (-1.4015760762228784 53.413268760965785, -1.399129800000001 53.413264299999994, -1.3900094000000003 53.4081914)","(2, 690, 0)",2,690,0,Bawtry Road,,,,,
1,65,0,"[15151036, 808061431]",True,2,A631,trunk,40 mph,False,516.8391106740751,,"[15151036, 808061431]","(15151036, 808061431)",1649,1,64.3736,2.0,7.169747619047621,trunk,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,149827552,1296443620,"LINESTRING (-1.4015760762228784 53.413268760965785, -1.4029942000000002 53.41203999999999, -1.4026828000000002 53.40893440000001, -1.402751850004857 53.408931150019995)","(2, 69, 0)",2,69,0,Shepcote Lane,,,,,
1,60,0,"[808056280, 963461547, 15090348, 15090350, 4088723, 808061428, 114437336, 114437406]",True,"['2', '3']",A6178,primary,40 mph,False,577.1216483840376,yes,"[808056280, 963461547, 15090348, 15090350, 4088723, 808061428, 114437336, 114437406]","(808056280, 963461547, 15090348, 15090350, 4088723, 808061428, 114437336, 114437406)",198,1,64.3736,3.0,9.244928571428574,primary,UAP2,2,1274.204314754886,0.3,19.312079999999998,65.9796518425196,21754350,21754366,"LINESTRING (-1.4015760762228784 53.413268760965785, -1.4027618999999996 53.4129338, -1.4061257000000007 53.41079649999999, -1.4071765820408262 53.412124979911525)","(2, 64, 0)",2,64,0,,,,,,
1,5,0,"[15090368, 808061433, 114437298, 117987045]",True,"['2', '3']",A631,trunk,50 mph,False,1168.1617555036278,yes,"[15090368, 808061433, 114437298, 117987045]","(15090368, 808061433, 114437298, 117987045)",1592,1,80.467,3.0,9.244928571428574,trunk,UAP1,1,1572.5508053393933,0.3,24.1401,65.14267982897309,148866610,21754478,"LINESTRING (-1.4015760762228784 53.413268760965785, -1.4027190999999999 53.4136983, -1.4104784000000001 53.42149179999999, -1.4112807154613123 53.42189187358523)","(2, 8, 0)",2,8,0,Tinsley Viaduct,,,,,
1,57,0,"[23270784, 425758954]",False,2,A6178,primary,30 mph,False,342.58286988948066,,"[23270784, 425758954]","(23270784, 425758954)",2439,2,48.2802,2.0,7.169747619047621,primary,UAP3,3,923.645803870954,0.3,14.48406,63.769813427378374,251834056,1506291388,"LINESTRING (-1.4015760762228784 53.413268760965785, -1.4010125000000004 53.414863, -1.3998145999999996 53.41587849999999, -1.4000444491642139 53.416033700216964)","(2, 61, 0)",2,61,0,Sheffield Road,,,,,
685,1,0,"[56227891, 1285192876]",False,,A631,primary,,True,991.0114395528634,,"[56227891, 1285192876]","(56227891, 1285192876)",2298,2,96.5604,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,28.96812,36.06040572193207,246897932,246897925,"LINESTRING (-1.3900094000000003 53.4081914, -1.399129800000001 53.413264299999994, -1.4015760762228784 53.413268760965785)","(690, 2, 0)",690,2,0,Bawtry Road,,,,,
65,566,0,"[962289418, 808061431]",True,2,A631,trunk,40 mph,False,720.4350372009928,,"[962289418, 808061431]","(962289418, 808061431)",3732,1,64.3736,2.0,7.169747619047621,trunk,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,1296443620,8901321755,"LINESTRING (-1.402751850004857 53.408931150019995, -1.4026828000000002 53.40893440000001, -1.4073613000000003 53.403249599999995, -1.4075007056723494 53.403197019799784)","(69, 571, 0)",69,571,0,Shepcote Lane,,,,,
65,1,0,"[829349192, 808061430]",True,2,A631,trunk,40 mph,False,522.5545789827486,,"[829349192, 808061430]","(829349192, 808061430)",4660,1,64.3736,2.0,7.169747619047621,trunk,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,8901321744,860685929,"LINESTRING (-1.402751850004857 53.408931150019995, -1.4028209000000003 53.408927899999995, -1.4031126999999997 53.41206129999999, -1.4015760762228784 53.413268760965785)","(69, 2, 0)",69,2,0,,,,,,
