DateTime,Temp (C) ,Pressure (hPa),Rain (mm),Wind Speed 10 m (m/s),Wind Speed 24 m (m/s),Wind Direction 10 m (deg.M),Wind Direction 24 m (deg.M),PBL height (m)
01/01/2023 01:00,9.009995,968,0,4.227997,5.422997,194.5,186.399902,1184.41
01/01/2023 02:00,9.360001,969,0,4.716003,5.489998,227.199951,223.199951,1227.78
01/01/2023 03:00,9.259995,970,0,5.542999,7.554001,225.899902,218.5,1188.65
01/01/2023 04:00,8.789993,970,0,5.244003,6.156998,221.399902,222.199951,1048.78
01/01/2023 05:00,8.190002,971,0,4.869003,6.073997,229,223.100098,994.19
01/01/2023 06:00,8.160004,972,0,5.791,6.778,216.899902,209,978.61
01/01/2023 07:00,8.589996,973,0,6.226997,7.789001,217.199951,210.100098,979.72
01/01/2023 08:00,7.811996,974,0,4.591003,6.070999,222,219.600098,1040.70
01/01/2023 09:00,8.160004,975,0,5.933998,7.147003,223.399902,212.899902,1088.06
01/01/2023 10:00,8.850006,976,0,4.332001,5.126999,225.899902,211.800049,1236.90
01/01/2023 11:00,7.795998,977,0,3.317001,4.638,207.600098,203.100098,1284.69
01/01/2023 12:00,8.300003,977,0,2.625,3.234001,211.5,202.899902,1343.24
01/01/2023 13:00,9.039993,977,0,4.261002,5.872002,213.100098,208.5,1399.22
01/01/2023 14:00,9.389999,977,0,4.675003,5.532997,221.199951,212.199951,1363.98
01/01/2023 15:00,9.210007,977,0,3.925999,4.446999,208.199951,193.100098,1191.67
01/01/2023 16:00,9.169998,977,0,3.347,4.019997,214.399902,209.100098,938.73
01/01/2023 17:00,9.119995,977,0,4.112999,5.008003,209,206.300049,796.75
01/01/2023 18:00,8.919998,977,0,3.612999,4.237,202.600098,189.899902,727.79
01/01/2023 19:00,8.919998,978,0,1.839001,2.643002,203.800049,189.300049,674.58
01/01/2023 20:00,8.339996,978,0,1.535,2.129002,205.899902,203.600098,607.98
01/01/2023 21:00,8.330002,978,0,1.131001,2.000999,254.800049,248.300049,551.96
01/01/2023 22:00,8.399994,978,0,4.264999,5.374001,209.199951,203.199951,442.03
01/01/2023 23:00,7.711998,978,0,2.563,3.210999,213.399902,198.100098,456.74
02/01/2023 00:00,7.490997,979,0,2.870998,3.831001,224.800049,214.100098,429.04
02/01/2023 01:00,7.198997,979,0,2.898998,3.667,227.100098,216.300049,457.24
02/01/2023 02:00,7.337997,979,0,3.934002,5.205002,226.300049,219.800049,441.91
02/01/2023 03:00,7.424004,980,0,1.533001,2.927002,246.5,234.699951,383.23
02/01/2023 04:00,6.961998,981,0,1.313999,2.359001,258.899902,270.299805,436.16
02/01/2023 05:00,6.038002,982,0,0.839,1.6,269.700195,275.700195,507.13
02/01/2023 06:00,5.684998,983,0,0.415,0.53,95.800049,288.399902,488.71
02/01/2023 07:00,5.248001,984,0,1.493,2.59,261.100098,262.899902,426.52
02/01/2023 08:00,4.690002,986,0,1.559,2.771,265.100098,262.899902,369.11
02/01/2023 09:00,4.489998,988,0,1.184,2.605999,266.799805,266.700195,345.65
02/01/2023 10:00,5.030998,989,0,1.122999,1.851999,239.399902,250.5,316.91
02/01/2023 11:00,5.858002,990,0,1.555,2.305,254.199951,250.300049,685.40
02/01/2023 12:00,6.005997,991,0,1.563,2.845001,269,267.700195,905.16
02/01/2023 13:00,6.278999,991,0,1.796,3.136002,259.700195,261.200195,989.37
02/01/2023 14:00,6.516998,992,0,1.707001,2.841999,269.399902,270.299805,1005.28
02/01/2023 15:00,6.215004,993,0,1.072001,2.054001,276.899902,268.100098,834.36
02/01/2023 16:00,5.116997,994,0,1.092001,2.131001,237.699951,231.199951,221.23
02/01/2023 17:00,4.088997,995,0,0.51,1.211,225.600098,223.600098,114.42
02/01/2023 18:00,2.679001,995,0,0.269,0.545,268.600098,292.5,73.49
02/01/2023 19:00,1.790001,996,0,0.202,0.607,0,226.300049,67.62
02/01/2023 20:00,2.226002,996,0,1.089001,1.875,192.199951,204.399902,79.81
02/01/2023 21:00,2.014,997,0,1.000999,1.454,143.800049,173.899902,97.57
02/01/2023 22:00,1.717001,996,0,1.297001,2.535,223.800049,211.800049,167.62
02/01/2023 23:00,0.815,997,0,0.433,0.628,122.800049,48.080017,162.96
03/01/2023 00:00,0.144,997,0,0.261,1.281,149.199951,202.199951,184.25
03/01/2023 01:00,0.128,996,0,1.061001,2.325001,142.300049,150.600098,218.24
03/01/2023 02:00,-0.847,996,0,0.737,0.97,128.399902,85.099976,204.83
03/01/2023 03:00,-0.63,995,0,1.127001,2.187,151,135.300049,213.84
03/01/2023 04:00,0.006,994,0,0.837,0.903,67.880005,84.400024,299.99
03/01/2023 05:00,1.323999,993,0,0.897,1.448999,111.699951,122.400024,358.94
03/01/2023 06:00,0.888,992,0,0.529,0.733,22.209991,320.700195,380.63
03/01/2023 07:00,3.352001,991,0,2.059002,2.780998,195.5,174.100098,458.65
03/01/2023 08:00,3.928001,990,0,1.844999,3.095001,172.800049,162.399902,598.42
03/01/2023 09:00,5.129997,989,0,2.292999,3.382999,214.699951,206.100098,727.37
03/01/2023 10:00,6.940002,989,0,4.448997,4.995003,217.600098,206,709.82
03/01/2023 11:00,8.259995,988,0,2.727001,4.050003,222.300049,202.899902,650.93
03/01/2023 12:00,8.860001,987,0,3.07,4.719002,187.5,171,717.98
03/01/2023 13:00,9.580002,986,0,3.606998,4.668999,194.5,183.5,810.07
03/01/2023 14:00,9.990005,984,0,3.568001,4.963997,179.800049,178.800049,906.08
03/01/2023 15:00,10.149994,983,0,3.194,4.82,182.100098,171.600098,998.40
03/01/2023 16:00,10.550003,981,0,4.537003,6.198997,196.100098,185.5,1039.76
03/01/2023 17:00,11.490005,981,0,4.942001,6.271004,205.699951,198.300049,883.03
03/01/2023 18:00,11.440002,980,0,4.230003,5.441002,209.300049,192.399902,828.79
03/01/2023 19:00,11.610001,979,0,3.375,5.165001,207.899902,189.899902,838.47
03/01/2023 20:00,11.830002,978,0,3.841,5.327003,202,195.600098,890.67
03/01/2023 21:00,11.979996,978,0,4.077003,5.301003,212.199951,203.5,947.76
03/01/2023 22:00,12.410004,977,0,3.411999,4.031998,213,195.899902,965.54
03/01/2023 23:00,12.610001,977,0,5.368004,6.896004,225,212.5,1063.69
04/01/2023 00:00,12.520004,976,0,5.306999,6.282997,222.600098,211.800049,1087.37
04/01/2023 01:00,12.449997,977,0,5.677002,7.021004,229.5,220.600098,1130.45
04/01/2023 02:00,12.199997,977,0,5.055,6.960999,234.199951,220.199951,1070.74
04/01/2023 03:00,12.039993,977,0.2,4.973,6.081001,230.800049,220,1127.76
04/01/2023 04:00,12.190002,977,0,5.780998,7.834999,225.5,212.399902,1294.82
04/01/2023 05:00,13,977,0,5.303001,8.949997,250.899902,241,1274.52
04/01/2023 06:00,12.300003,977,0,5.068001,7.541,243,235.5,1172.66
04/01/2023 07:00,11.600006,977,0,5.826004,7.726997,232.300049,227.600098,1240.71
04/01/2023 08:00,12.289993,977,0,6.861,9.009995,243.300049,234.800049,1203.67
04/01/2023 09:00,12.050003,978,0,5.901001,8.520004,247.600098,240.100098,1149.21
04/01/2023 10:00,12.020004,979,0,4.967003,8.300003,248.699951,245.800049,1399.34
04/01/2023 11:00,12.050003,980,0,6.590004,9.580002,249.600098,245.300049,1380.92
04/01/2023 12:00,12.160004,980,0,6.749001,9.5,241.600098,244.800049,1378.65
04/01/2023 13:00,12.610001,980,0,5.765999,8.300003,252.100098,240.399902,1418.17
04/01/2023 14:00,12.559998,980,0,5.400002,7.899002,251.699951,255.800049,1362.62
04/01/2023 15:00,12.070007,981,0,5.253998,7.605003,252.399902,250.100098,1346.59
04/01/2023 16:00,10.680008,983,0,4.035004,7.473,264,254,1263.81
04/01/2023 17:00,11.149994,983,0,5.403,9.199997,264.200195,256.5,1242.12
04/01/2023 18:00,11.029999,983,0,4.427002,8.449997,269.100098,255.199951,1181.98
04/01/2023 19:00,10.389999,984,0,4.763,7.668999,260,256.399902,1124.87
04/01/2023 20:00,10.639999,985,0,4.577003,7.903,263.700195,257.799805,1131.03
04/01/2023 21:00,10.669998,985,0,3.247002,6.085999,262.899902,259.600098,1123.59
04/01/2023 22:00,10.449997,986,0,2.575001,4.803001,261.799805,255.300049,1170.60
04/01/2023 23:00,10.990005,988,0,3.011002,4.023003,242.100098,243.5,1157.81
05/01/2023 00:00,11.410004,989,0,4.521004,6.792999,260.200195,261,1138.85
05/01/2023 01:00,10.990005,989,0,3.317001,5.793999,276.700195,269.700195,1070.37
05/01/2023 02:00,10.699997,990,0,2.655998,5.218002,269.600098,265.700195,1035.33
05/01/2023 03:00,10.740005,991,0,2.432999,3.932999,252.699951,247.899902,1036.11
05/01/2023 04:00,10.710007,991,0,1.965,2.588001,245,242,1013.00
05/01/2023 05:00,10.5,991,0,2.289001,3.163002,243.699951,229.899902,831.69
05/01/2023 06:00,10.240005,991,0,3.098,3.525002,221,220.899902,646.41
05/01/2023 07:00,9.830002,991,0,1.912001,2.540001,214.5,214.199951,489.28
05/01/2023 08:00,8.75,991,0,1.315001,2.701,144.800049,143.399902,441.12
05/01/2023 09:00,9.180008,991,0,2.451,3.230999,210.800049,198,425.02
05/01/2023 10:00,8.910004,990,0,2.053001,2.708,203.699951,192.699951,407.00
05/01/2023 11:00,10.190002,990,0,4.591003,5.324997,218.899902,208.399902,554.28
05/01/2023 12:00,11.660004,989,0,5.176003,6.139,227.100098,216,845.04
05/01/2023 13:00,12.139999,988,0,4.219002,5.290001,213,202.600098,933.73
05/01/2023 14:00,11.589996,987,0,2.861,3.741001,185,180.100098,944.94
05/01/2023 15:00,11.770004,986,0,2.701,3.877998,205.300049,189.5,1016.35
05/01/2023 16:00,11.869995,986,0,3.139999,4.277,191.5,184.100098,992.85
05/01/2023 17:00,11.960007,985,0,4.202003,5.207001,203.699951,192.800049,1023.09
05/01/2023 18:00,12.070007,984,0,3.508999,4.959,212.699951,195.899902,1039.52
05/01/2023 19:00,11.889999,983,0,3.465,4.802002,179.800049,171,1096.36
05/01/2023 20:00,11.820007,982,0,2.699001,3.729,204.600098,191.199951,1118.80
05/01/2023 21:00,11.580002,980,0,4.827003,5.980003,205.5,194.300049,1187.73
05/01/2023 22:00,11.889999,979,0,5.855003,7.397003,207.5,193.199951,1150.65
