occup.time,occup.sensor,occup.msm,occup.LocalTime,occup.occupancy,occup.interval
1674518415,[SCC]1EED1,0,2023-01-24T00:00:15Z,0,1
1674519315,[SCC]1EED1,15,2023-01-24T00:15:15Z,0,1
1674520215,[SCC]1EED1,30,2023-01-24T00:30:15Z,0,1
1674521115,[SCC]1EED1,45,2023-01-24T00:45:15Z,0,1
1674522015,[SCC]1EED1,60,2023-01-24T01:00:15Z,0,1
1674522915,[SCC]1EED1,75,2023-01-24T01:15:15Z,0,1
1674523815,[SCC]1EED1,90,2023-01-24T01:30:15Z,0,1
1674524715,[SCC]1EED1,105,2023-01-24T01:45:15Z,0,1
1674525615,[SCC]1EED1,120,2023-01-24T02:00:15Z,0,1
1674526515,[SCC]1EED1,135,2023-01-24T02:15:15Z,0,1
1674527415,[SCC]1EED1,150,2023-01-24T02:30:15Z,0,1
1674528315,[SCC]1EED1,165,2023-01-24T02:45:15Z,0,1
1674529215,[SCC]1EED1,180,2023-01-24T03:00:15Z,0,1
1674530115,[SCC]1EED1,195,2023-01-24T03:15:15Z,0,1
1674531015,[SCC]1EED1,210,2023-01-24T03:30:15Z,0,1
1674531915,[SCC]1EED1,225,2023-01-24T03:45:15Z,0,1
1674532815,[SCC]1EED1,240,2023-01-24T04:00:15Z,0,1
1674533715,[SCC]1EED1,255,2023-01-24T04:15:15Z,0,1
1674534615,[SCC]1EED1,270,2023-01-24T04:30:15Z,0,1
1674535515,[SCC]1EED1,285,2023-01-24T04:45:15Z,0,1
1674536415,[SCC]1EED1,300,2023-01-24T05:00:15Z,0,1
1674537315,[SCC]1EED1,315,2023-01-24T05:15:15Z,0,1
1674538215,[SCC]1EED1,330,2023-01-24T05:30:15Z,3,1
1674539115,[SCC]1EED1,345,2023-01-24T05:45:15Z,0,1
1674540015,[SCC]1EED1,360,2023-01-24T06:00:15Z,2,1
1674540915,[SCC]1EED1,375,2023-01-24T06:15:15Z,2,1
1674541815,[SCC]1EED1,390,2023-01-24T06:30:15Z,3,1
1674542715,[SCC]1EED1,405,2023-01-24T06:45:15Z,2,1
1674543615,[SCC]1EED1,420,2023-01-24T07:00:15Z,5,1
1674544515,[SCC]1EED1,435,2023-01-24T07:15:15Z,7,1
1674545415,[SCC]1EED1,450,2023-01-24T07:30:15Z,8,1
1674546315,[SCC]1EED1,465,2023-01-24T07:45:15Z,12,1
1674547215,[SCC]1EED1,480,2023-01-24T08:00:15Z,22,1
1674548115,[SCC]1EED1,495,2023-01-24T08:15:15Z,28,1
1674549015,[SCC]1EED1,510,2023-01-24T08:30:15Z,68,1
1674549915,[SCC]1EED1,525,2023-01-24T08:45:15Z,65,1
1674550815,[SCC]1EED1,540,2023-01-24T09:00:15Z,64,1
1674551715,[SCC]1EED1,555,2023-01-24T09:15:15Z,66,1
1674552615,[SCC]1EED1,570,2023-01-24T09:30:15Z,66,1
1674553515,[SCC]1EED1,585,2023-01-24T09:45:15Z,12,1
1674554415,[SCC]1EED1,600,2023-01-24T10:00:15Z,7,1
1674555315,[SCC]1EED1,615,2023-01-24T10:15:15Z,10,1
1674556215,[SCC]1EED1,630,2023-01-24T10:30:15Z,6,1
1674557115,[SCC]1EED1,645,2023-01-24T10:45:15Z,4,1
1674558015,[SCC]1EED1,660,2023-01-24T11:00:15Z,8,1
1674558915,[SCC]1EED1,675,2023-01-24T11:15:15Z,4,1
1674559815,[SCC]1EED1,690,2023-01-24T11:30:15Z,6,1
1674560715,[SCC]1EED1,705,2023-01-24T11:45:15Z,5,1
1674561615,[SCC]1EED1,720,2023-01-24T12:00:15Z,6,1
1674562515,[SCC]1EED1,735,2023-01-24T12:15:15Z,8,1
1674563415,[SCC]1EED1,750,2023-01-24T12:30:15Z,6,1
1674564315,[SCC]1EED1,765,2023-01-24T12:45:15Z,5,1
1674565215,[SCC]1EED1,780,2023-01-24T13:00:15Z,4,1
1674566115,[SCC]1EED1,795,2023-01-24T13:15:15Z,6,1
1674567015,[SCC]1EED1,810,2023-01-24T13:30:15Z,6,1
1674567915,[SCC]1EED1,825,2023-01-24T13:45:15Z,4,1
1674568815,[SCC]1EED1,840,2023-01-24T14:00:15Z,4,1
1674569715,[SCC]1EED1,855,2023-01-24T14:15:15Z,7,1
1674570615,[SCC]1EED1,870,2023-01-24T14:30:15Z,7,1
1674571515,[SCC]1EED1,885,2023-01-24T14:45:15Z,3,1
1674572415,[SCC]1EED1,900,2023-01-24T15:00:15Z,7,1
1674573315,[SCC]1EED1,915,2023-01-24T15:15:15Z,4,1
1674574215,[SCC]1EED1,930,2023-01-24T15:30:15Z,10,1
1674575115,[SCC]1EED1,945,2023-01-24T15:45:15Z,10,1
1674576015,[SCC]1EED1,960,2023-01-24T16:00:15Z,10,1
1674576915,[SCC]1EED1,975,2023-01-24T16:15:15Z,9,1
1674577815,[SCC]1EED1,990,2023-01-24T16:30:15Z,7,1
1674578715,[SCC]1EED1,1005,2023-01-24T16:45:15Z,9,1
1674579615,[SCC]1EED1,1020,2023-01-24T17:00:15Z,8,1
1674580515,[SCC]1EED1,1035,2023-01-24T17:15:15Z,10,1
1674581415,[SCC]1EED1,1050,2023-01-24T17:30:15Z,5,1
1674582315,[SCC]1EED1,1065,2023-01-24T17:45:15Z,10,1
1674583215,[SCC]1EED1,1080,2023-01-24T18:00:15Z,6,1
1674584115,[SCC]1EED1,1095,2023-01-24T18:15:15Z,7,1
1674585015,[SCC]1EED1,1110,2023-01-24T18:30:15Z,6,1
1674585915,[SCC]1EED1,1125,2023-01-24T18:45:15Z,5,1
1674586815,[SCC]1EED1,1140,2023-01-24T19:00:15Z,3,1
1674587715,[SCC]1EED1,1155,2023-01-24T19:15:15Z,11,1
1674588615,[SCC]1EED1,1170,2023-01-24T19:30:15Z,5,1
1674589515,[SCC]1EED1,1185,2023-01-24T19:45:15Z,4,1
1674590415,[SCC]1EED1,1200,2023-01-24T20:00:15Z,1,1
1674591315,[SCC]1EED1,1215,2023-01-24T20:15:15Z,4,1
1674592215,[SCC]1EED1,1230,2023-01-24T20:30:15Z,2,1
1674593115,[SCC]1EED1,1245,2023-01-24T20:45:15Z,1,1
1674594015,[SCC]1EED1,1260,2023-01-24T21:00:15Z,3,1
1674594915,[SCC]1EED1,1275,2023-01-24T21:15:15Z,0,1
1674595815,[SCC]1EED1,1290,2023-01-24T21:30:15Z,1,1
1674596715,[SCC]1EED1,1305,2023-01-24T21:45:15Z,0,1
1674597615,[SCC]1EED1,1320,2023-01-24T22:00:15Z,3,1
1674598515,[SCC]1EED1,1335,2023-01-24T22:15:15Z,1,1
1674599415,[SCC]1EED1,1350,2023-01-24T22:30:15Z,2,1
1674600315,[SCC]1EED1,1365,2023-01-24T22:45:15Z,3,1
1674601215,[SCC]1EED1,1380,2023-01-24T23:00:15Z,1,1
1674602115,[SCC]1EED1,1395,2023-01-24T23:15:15Z,0,1
1674603015,[SCC]1EED1,1410,2023-01-24T23:30:15Z,0,1
1674604815,[SCC]1EED1,0,2023-01-25T00:00:15Z,0,1
1674605715,[SCC]1EED1,15,2023-01-25T00:15:15Z,0,1
1674606615,[SCC]1EED1,30,2023-01-25T00:30:15Z,0,1
1674607515,[SCC]1EED1,45,2023-01-25T00:45:15Z,0,1
1674608415,[SCC]1EED1,60,2023-01-25T01:00:15Z,0,1
1674609315,[SCC]1EED1,75,2023-01-25T01:15:15Z,0,1
1674610215,[SCC]1EED1,90,2023-01-25T01:30:15Z,0,1
1674611115,[SCC]1EED1,105,2023-01-25T01:45:15Z,0,1
1674612015,[SCC]1EED1,120,2023-01-25T02:00:15Z,0,1
1674612915,[SCC]1EED1,135,2023-01-25T02:15:15Z,0,1
1674613815,[SCC]1EED1,150,2023-01-25T02:30:15Z,0,1
1674614715,[SCC]1EED1,165,2023-01-25T02:45:15Z,0,1
1674615615,[SCC]1EED1,180,2023-01-25T03:00:15Z,0,1
1674616515,[SCC]1EED1,195,2023-01-25T03:15:15Z,0,1
1674617415,[SCC]1EED1,210,2023-01-25T03:30:15Z,0,1
1674618315,[SCC]1EED1,225,2023-01-25T03:45:15Z,0,1
1674619215,[SCC]1EED1,240,2023-01-25T04:00:15Z,0,1
1674620115,[SCC]1EED1,255,2023-01-25T04:15:15Z,0,1
1674621015,[SCC]1EED1,270,2023-01-25T04:30:15Z,0,1
1674621915,[SCC]1EED1,285,2023-01-25T04:45:15Z,0,1
1674622815,[SCC]1EED1,300,2023-01-25T05:00:15Z,1,1
1674623715,[SCC]1EED1,315,2023-01-25T05:15:15Z,0,1
1674624615,[SCC]1EED1,330,2023-01-25T05:30:15Z,2,1
1674625515,[SCC]1EED1,345,2023-01-25T05:45:15Z,1,1
1674626415,[SCC]1EED1,360,2023-01-25T06:00:15Z,4,1
1674627315,[SCC]1EED1,375,2023-01-25T06:15:15Z,0,1
1674628215,[SCC]1EED1,390,2023-01-25T06:30:15Z,3,1
1674629115,[SCC]1EED1,405,2023-01-25T06:45:15Z,4,1
1674630015,[SCC]1EED1,420,2023-01-25T07:00:15Z,6,1
1674630915,[SCC]1EED1,435,2023-01-25T07:15:15Z,6,1
1674631815,[SCC]1EED1,450,2023-01-25T07:30:15Z,8,1
1674632715,[SCC]1EED1,465,2023-01-25T07:45:15Z,9,1
1674633615,[SCC]1EED1,480,2023-01-25T08:00:15Z,71,1
1674634515,[SCC]1EED1,495,2023-01-25T08:15:15Z,68,1
1674635415,[SCC]1EED1,510,2023-01-25T08:30:15Z,63,1
1674636315,[SCC]1EED1,525,2023-01-25T08:45:15Z,68,1
1674637215,[SCC]1EED1,540,2023-01-25T09:00:15Z,76,1
1674638115,[SCC]1EED1,555,2023-01-25T09:15:15Z,67,1
1674639015,[SCC]1EED1,570,2023-01-25T09:30:15Z,66,1
1674639915,[SCC]1EED1,585,2023-01-25T09:45:15Z,9,1
1674640815,[SCC]1EED1,600,2023-01-25T10:00:15Z,7,1
1674641715,[SCC]1EED1,615,2023-01-25T10:15:15Z,12,1
1674642615,[SCC]1EED1,630,2023-01-25T10:30:15Z,6,1
1674643515,[SCC]1EED1,645,2023-01-25T10:45:15Z,7,1
1674644415,[SCC]1EED1,660,2023-01-25T11:00:15Z,12,1
1674645315,[SCC]1EED1,675,2023-01-25T11:15:15Z,6,1
1674646215,[SCC]1EED1,690,2023-01-25T11:30:15Z,6,1
1674647115,[SCC]1EED1,705,2023-01-25T11:45:15Z,8,1
1674648015,[SCC]1EED1,720,2023-01-25T12:00:15Z,6,1
1674648915,[SCC]1EED1,735,2023-01-25T12:15:15Z,6,1
1674649815,[SCC]1EED1,750,2023-01-25T12:30:15Z,7,1
1674650715,[SCC]1EED1,765,2023-01-25T12:45:15Z,8,1
1674651615,[SCC]1EED1,780,2023-01-25T13:00:15Z,5,1
1674652515,[SCC]1EED1,795,2023-01-25T13:15:15Z,10,1
1674653415,[SCC]1EED1,810,2023-01-25T13:30:15Z,4,1
1674654315,[SCC]1EED1,825,2023-01-25T13:45:15Z,6,1
1674655215,[SCC]1EED1,840,2023-01-25T14:00:15Z,6,1
1674656115,[SCC]1EED1,855,2023-01-25T14:15:15Z,5,1
1674657015,[SCC]1EED1,870,2023-01-25T14:30:15Z,6,1
1674657915,[SCC]1EED1,885,2023-01-25T14:45:15Z,8,1
1674658815,[SCC]1EED1,900,2023-01-25T15:00:15Z,4,1
1674659715,[SCC]1EED1,915,2023-01-25T15:15:15Z,7,1
1674660615,[SCC]1EED1,930,2023-01-25T15:30:15Z,7,1
1674661515,[SCC]1EED1,945,2023-01-25T15:45:15Z,13,1
1674662415,[SCC]1EED1,960,2023-01-25T16:00:15Z,6,1
1674663315,[SCC]1EED1,975,2023-01-25T16:15:15Z,4,1
1674664215,[SCC]1EED1,990,2023-01-25T16:30:15Z,5,1
1674665115,[SCC]1EED1,1005,2023-01-25T16:45:15Z,6,1
1674666015,[SCC]1EED1,1020,2023-01-25T17:00:15Z,8,1
1674666915,[SCC]1EED1,1035,2023-01-25T17:15:15Z,7,1
1674667815,[SCC]1EED1,1050,2023-01-25T17:30:15Z,8,1
1674668715,[SCC]1EED1,1065,2023-01-25T17:45:15Z,11,1
1674669615,[SCC]1EED1,1080,2023-01-25T18:00:15Z,6,1
1674670515,[SCC]1EED1,1095,2023-01-25T18:15:15Z,7,1
1674671415,[SCC]1EED1,1110,2023-01-25T18:30:15Z,7,1
1674672315,[SCC]1EED1,1125,2023-01-25T18:45:15Z,6,1
1674673215,[SCC]1EED1,1140,2023-01-25T19:00:15Z,3,1
1674674115,[SCC]1EED1,1155,2023-01-25T19:15:15Z,8,1
1674675015,[SCC]1EED1,1170,2023-01-25T19:30:15Z,4,1
1674675915,[SCC]1EED1,1185,2023-01-25T19:45:15Z,3,1
1674676815,[SCC]1EED1,1200,2023-01-25T20:00:15Z,0,1
1674677715,[SCC]1EED1,1215,2023-01-25T20:15:15Z,1,1
1674678615,[SCC]1EED1,1230,2023-01-25T20:30:15Z,2,1
1674679515,[SCC]1EED1,1245,2023-01-25T20:45:15Z,1,1
1674680415,[SCC]1EED1,1260,2023-01-25T21:00:15Z,3,1
1674681315,[SCC]1EED1,1275,2023-01-25T21:15:15Z,4,1
1674682215,[SCC]1EED1,1290,2023-01-25T21:30:15Z,3,1
1674683115,[SCC]1EED1,1305,2023-01-25T21:45:15Z,2,1
1674684015,[SCC]1EED1,1320,2023-01-25T22:00:15Z,2,1
1674684915,[SCC]1EED1,1335,2023-01-25T22:15:15Z,2,1
1674685815,[SCC]1EED1,1350,2023-01-25T22:30:15Z,3,1
1674686715,[SCC]1EED1,1365,2023-01-25T22:45:15Z,1,1
1674687615,[SCC]1EED1,1380,2023-01-25T23:00:15Z,0,1
1674688515,[SCC]1EED1,1395,2023-01-25T23:15:15Z,1,1
1674689415,[SCC]1EED1,1410,2023-01-25T23:30:15Z,0,1
1674691215,[SCC]1EED1,0,2023-01-26T00:00:15Z,0,1
1674692115,[SCC]1EED1,15,2023-01-26T00:15:15Z,0,1
1674693015,[SCC]1EED1,30,2023-01-26T00:30:15Z,0,1
1674693915,[SCC]1EED1,45,2023-01-26T00:45:15Z,0,1
1674694815,[SCC]1EED1,60,2023-01-26T01:00:15Z,0,1
1674695715,[SCC]1EED1,75,2023-01-26T01:15:15Z,0,1
1674696615,[SCC]1EED1,90,2023-01-26T01:30:15Z,0,1
1674697515,[SCC]1EED1,105,2023-01-26T01:45:15Z,0,1
1674698415,[SCC]1EED1,120,2023-01-26T02:00:15Z,0,1
1674699315,[SCC]1EED1,135,2023-01-26T02:15:15Z,0,1
1674700215,[SCC]1EED1,150,2023-01-26T02:30:15Z,0,1
1674701115,[SCC]1EED1,165,2023-01-26T02:45:15Z,0,1
1674702015,[SCC]1EED1,180,2023-01-26T03:00:15Z,0,1
1674702915,[SCC]1EED1,195,2023-01-26T03:15:15Z,0,1
1674703815,[SCC]1EED1,210,2023-01-26T03:30:15Z,1,1
1674704715,[SCC]1EED1,225,2023-01-26T03:45:15Z,0,1
1674705615,[SCC]1EED1,240,2023-01-26T04:00:15Z,0,1
1674706515,[SCC]1EED1,255,2023-01-26T04:15:15Z,0,1
1674707415,[SCC]1EED1,270,2023-01-26T04:30:15Z,0,1
1674708315,[SCC]1EED1,285,2023-01-26T04:45:15Z,1,1
1674709215,[SCC]1EED1,300,2023-01-26T05:00:15Z,0,1
1674710115,[SCC]1EED1,315,2023-01-26T05:15:15Z,0,1
1674711015,[SCC]1EED1,330,2023-01-26T05:30:15Z,1,1
1674711915,[SCC]1EED1,345,2023-01-26T05:45:15Z,0,1
1674712815,[SCC]1EED1,360,2023-01-26T06:00:15Z,1,1
1674713715,[SCC]1EED1,375,2023-01-26T06:15:15Z,1,1
1674714615,[SCC]1EED1,390,2023-01-26T06:30:15Z,4,1
1674715515,[SCC]1EED1,405,2023-01-26T06:45:15Z,4,1
1674716415,[SCC]1EED1,420,2023-01-26T07:00:15Z,4,1
1674717315,[SCC]1EED1,435,2023-01-26T07:15:15Z,5,1
1674718215,[SCC]1EED1,450,2023-01-26T07:30:15Z,7,1
1674719115,[SCC]1EED1,465,2023-01-26T07:45:15Z,19,1
1674720015,[SCC]1EED1,480,2023-01-26T08:00:15Z,28,1
1674720915,[SCC]1EED1,495,2023-01-26T08:15:15Z,70,1
1674721815,[SCC]1EED1,510,2023-01-26T08:30:15Z,66,1
1674722715,[SCC]1EED1,525,2023-01-26T08:45:15Z,69,1
1674723615,[SCC]1EED1,540,2023-01-26T09:00:15Z,64,1
1674724515,[SCC]1EED1,555,2023-01-26T09:15:15Z,66,1
1674725415,[SCC]1EED1,570,2023-01-26T09:30:15Z,21,1
1674726315,[SCC]1EED1,585,2023-01-26T09:45:15Z,9,1
1674727215,[SCC]1EED1,600,2023-01-26T10:00:15Z,8,1
1674728115,[SCC]1EED1,615,2023-01-26T10:15:15Z,5,1
1674729015,[SCC]1EED1,630,2023-01-26T10:30:15Z,10,1
1674729915,[SCC]1EED1,645,2023-01-26T10:45:15Z,5,1
1674730815,[SCC]1EED1,660,2023-01-26T11:00:15Z,8,1
1674731715,[SCC]1EED1,675,2023-01-26T11:15:15Z,7,1
1674732615,[SCC]1EED1,690,2023-01-26T11:30:15Z,5,1
1674733515,[SCC]1EED1,705,2023-01-26T11:45:15Z,11,1
1674734415,[SCC]1EED1,720,2023-01-26T12:00:15Z,5,1
1674735315,[SCC]1EED1,735,2023-01-26T12:15:15Z,5,1
1674736215,[SCC]1EED1,750,2023-01-26T12:30:15Z,9,1
1674737115,[SCC]1EED1,765,2023-01-26T12:45:15Z,9,1
1674738015,[SCC]1EED1,780,2023-01-26T13:00:15Z,8,1
1674738915,[SCC]1EED1,795,2023-01-26T13:15:15Z,4,1
1674739815,[SCC]1EED1,810,2023-01-26T13:30:15Z,8,1
1674740715,[SCC]1EED1,825,2023-01-26T13:45:15Z,7,1
1674741615,[SCC]1EED1,840,2023-01-26T14:00:15Z,6,1
1674742515,[SCC]1EED1,855,2023-01-26T14:15:15Z,5,1
1674743415,[SCC]1EED1,870,2023-01-26T14:30:15Z,2,1
1674744315,[SCC]1EED1,885,2023-01-26T14:45:15Z,5,1
1674745216,[SCC]1EED1,900,2023-01-26T15:00:16Z,4,1
1674746115,[SCC]1EED1,915,2023-01-26T15:15:15Z,5,1
1674747015,[SCC]1EED1,930,2023-01-26T15:30:15Z,6,1
1674747915,[SCC]1EED1,945,2023-01-26T15:45:15Z,10,1
1674748815,[SCC]1EED1,960,2023-01-26T16:00:15Z,5,1
1674749715,[SCC]1EED1,975,2023-01-26T16:15:15Z,9,1
1674750615,[SCC]1EED1,990,2023-01-26T16:30:15Z,9,1
1674751515,[SCC]1EED1,1005,2023-01-26T16:45:15Z,10,1
1674752415,[SCC]1EED1,1020,2023-01-26T17:00:15Z,7,1
1674753315,[SCC]1EED1,1035,2023-01-26T17:15:15Z,10,1
1674754215,[SCC]1EED1,1050,2023-01-26T17:30:15Z,9,1
1674755115,[SCC]1EED1,1065,2023-01-26T17:45:15Z,8,1
1674756015,[SCC]1EED1,1080,2023-01-26T18:00:15Z,5,1
1674756915,[SCC]1EED1,1095,2023-01-26T18:15:15Z,6,1
1674757815,[SCC]1EED1,1110,2023-01-26T18:30:15Z,8,1
1674758715,[SCC]1EED1,1125,2023-01-26T18:45:15Z,6,1
1674759615,[SCC]1EED1,1140,2023-01-26T19:00:15Z,5,1
1674760515,[SCC]1EED1,1155,2023-01-26T19:15:15Z,4,1
1674761415,[SCC]1EED1,1170,2023-01-26T19:30:15Z,3,1
1674762315,[SCC]1EED1,1185,2023-01-26T19:45:15Z,5,1
1674763215,[SCC]1EED1,1200,2023-01-26T20:00:15Z,4,1
1674764115,[SCC]1EED1,1215,2023-01-26T20:15:15Z,1,1
1674765015,[SCC]1EED1,1230,2023-01-26T20:30:15Z,1,1
1674765915,[SCC]1EED1,1245,2023-01-26T20:45:15Z,1,1
1674766815,[SCC]1EED1,1260,2023-01-26T21:00:15Z,1,1
1674767715,[SCC]1EED1,1275,2023-01-26T21:15:15Z,2,1
1674768615,[SCC]1EED1,1290,2023-01-26T21:30:15Z,4,1
1674769515,[SCC]1EED1,1305,2023-01-26T21:45:15Z,3,1
1674770415,[SCC]1EED1,1320,2023-01-26T22:00:15Z,2,1
1674771315,[SCC]1EED1,1335,2023-01-26T22:15:15Z,2,1
1674772215,[SCC]1EED1,1350,2023-01-26T22:30:15Z,3,1
1674773115,[SCC]1EED1,1365,2023-01-26T22:45:15Z,1,1
1674774015,[SCC]1EED1,1380,2023-01-26T23:00:15Z,1,1
1674774915,[SCC]1EED1,1395,2023-01-26T23:15:15Z,0,1
