Time,sensorID,flowTotal,Nom_CO2_total,sensor,timestamp,AIRPRES,HUM,NO,NO2,PARTICLE_COUNT,PM1,PM10,PM2_5,PM4,TEMP,TSP,hour,month,day,dow,wkn
1674520200,SBT,90,12273,2450229,2023-01-24T00:30:00Z,1025.6,83.7,67.71,22.75,285.4,149.02,293.52,266.7,292.35,0.9,293.52,0,1,24,2,4
1674522000,SBT,47,5665,2450229,2023-01-24T01:00:00Z,1025.6,84.2,51.43,19.11,221.5,114.01,219.49,199.8,218.73,0.7,219.49,1,1,24,2,4
1674523800,SBT,40,4752,2450229,2023-01-24T01:30:00Z,1025.8,84.6,28.14,7.03,259.67,134.95,265.35,240.98,264.56,0.6,265.35,1,1,24,2,4
1674525600,SBT,31,3786,2450229,2023-01-24T02:00:00Z,1026.1,84.7,35.73,-2.33,234.3,121.35,234.59,212.96,233.33,0.4,234.59,2,1,24,2,4
1674527400,SBT,26,3110,2450229,2023-01-24T02:30:00Z,1025.9,84.7,29.09,-0.25,255.49,133.31,259.18,235.98,258.45,0.2,259.18,2,1,24,2,4
1674529200,SBT,20,2974,2450229,2023-01-24T03:00:00Z,1026,85.2,13.71,-11.83,239.96,125.19,240.32,219.11,239.32,0,240.32,3,1,24,2,4
1674531000,SBT,22,2317,2450229,2023-01-24T03:30:00Z,1025.9,85.2,32.62,-14.93,245.98,128.67,247.91,226.11,246.91,0,247.91,3,1,24,2,4
1674532800,SBT,25,3548,2450229,2023-01-24T04:00:00Z,1026.4,85.4,16.3,-12.87,275.96,145.25,286.43,261.1,285.66,-0.1,286.43,4,1,24,2,4
1674534600,SBT,24,3097,2450229,2023-01-24T04:30:00Z,1026.6,85.6,18.31,-13.66,240.59,126.04,246.62,224.2,245.17,-0.3,246.62,4,1,24,2,4
1674536400,SBT,42,5708,2450229,2023-01-24T05:00:00Z,1026.7,85.9,16.08,-7.33,251.21,131.44,258.06,235.1,257.29,-0.3,258.06,5,1,24,2,4
1674538200,SBT,40,4462,2450229,2023-01-24T05:30:00Z,1026.8,86.1,63.21,14.35,232.6,120.72,238.65,216.71,237.65,-0.3,238.65,5,1,24,2,4
1674540000,SBT,94,11823,2450229,2023-01-24T06:00:00Z,1027.1,86.2,90.56,12,269.08,139.19,299.39,269.48,298.62,-0.3,299.39,6,1,24,2,4
1674541800,SBT,140,17342,2450229,2023-01-24T06:30:00Z,1027.1,86.2,85.37,3.81,262.86,137.3,293.52,264.99,292.71,-0.2,293.52,6,1,24,2,4
1674543600,SBT,301,36690,2450229,2023-01-24T07:00:00Z,1026.8,86.6,103.09,1.89,260.95,133.55,267.92,243.08,266.79,0,267.92,7,1,24,2,4
1674545400,SBT,403,50693,2450229,2023-01-24T07:30:00Z,1026.4,86.6,155.01,33.58,236.72,121.06,248.92,223.9,247.44,0.3,248.92,7,1,24,2,4
1674547200,SBT,422,53275,2450229,2023-01-24T08:00:00Z,1026.8,86.7,138.43,33.28,260.81,141.22,314.21,280.81,312.74,0.7,314.21,8,1,24,2,4
1674549000,SBT,460,58717,2450229,2023-01-24T08:30:00Z,1026.6,86.5,114.85,42.55,250.9,136.25,294.84,264.33,293.58,1.2,294.84,8,1,24,2,4
1674550800,SBT,582,74254,2450229,2023-01-24T09:00:00Z,1027.3,86.5,134.3,5.41,240.66,126.98,257.66,232.57,256.66,1.6,257.66,9,1,24,2,4
1674552600,SBT,609,79418,2450229,2023-01-24T09:30:00Z,1026.9,85.9,220.63,68.21,267.73,147.84,329.21,292.41,327.19,2,329.21,9,1,24,2,4
1674554400,SBT,502,62518,2450229,2023-01-24T10:00:00Z,1027.1,85.9,230.4,51.65,226.08,121.11,263.83,233.46,260.7,2.8,263.83,10,1,24,2,4
1674556200,SBT,511,63595,2450229,2023-01-24T10:30:00Z,1026.3,84.1,115.42,27.66,200.51,104.27,250.81,222.17,249.79,4.2,250.81,10,1,24,2,4
1674558000,SBT,515,66653,2450229,2023-01-24T11:00:00Z,1026.2,83,118.04,8.36,216.77,114.53,293.05,257.32,292.05,5.5,293.05,11,1,24,2,4
1674559800,SBT,506,63199,2450229,2023-01-24T11:30:00Z,1026.4,81.6,96.66,15,210.84,115.21,282.5,248.27,281.8,6.9,282.5,11,1,24,2,4
1674561600,SBT,514,66453,2450229,2023-01-24T12:00:00Z,1026.1,80.1,82.67,0.38,191.86,104.46,247.16,217.14,246.15,8.3,247.16,12,1,24,2,4
1674563400,SBT,518,66284,2450229,2023-01-24T12:30:00Z,1025.9,78.8,25.42,-2.03,187.4,101.49,235.01,208.53,234.92,9.4,235.01,12,1,24,2,4
