occup_sensor,lanes,sensorID
[SCC]1EED1,3,NBT
[SCC]1EID1,2,SBT
[SCC]1EID2,2,NBT
[SCC]1EID3,2,NBT
[SCC]1ELD1,3,SBT
[SCC]1ELD2,2,NBT
[SCC]1EMD2,3,SBT
[SCC]1NAD1,3,NBT
[SCC]1NCD1,2,SBT
[SCC]1NMD1,2,SBT
[SCC]1NND1,2,NBT
[SCC]1YED1,3,NBT
[SCC]1YHD2,3,NBT
[SCC]1YHD3,3,SBT
[SCC]1YMD1,2,SBT
[SCC]1YMD2,3,NBT
[SCC]1YMD3,2,SBT
[SCC]1YMD5,2,SBT
[SCC]1YMD6,2,SBT
[SCC]1YPD1,2,NBT
[SCC]1YPD2,3,NBT
[SCC]DET002,,
[SCC]DET003,2,SBT
[SCC]DET005,,
[SCC]DET006,,
[SCC]DET008,,
[SCC]DET009,,
[SCC]DET025_1,2,SBT
[SCC]DET025_2,2,SBT
[SCC]DET028_1,,
[SCC]DET029_1,3,NBT
[SCC]DET032_1,2,SBT
[SCC]DET032_2,2,NBT
[SCC]DET028_2,,
[SCC]DET029_2,2,SBT
