LSOA,Solo,Nodeless
E01007824,0.0,1.0
E01007825,1.0,0.0
E01007826,0.0,1.0
E01007828,0.0,1.0
E01007830,0.0,1.0
E01007832,0.0,1.0
E01007834,1.0,0.0
E01007835,0.0,1.0
E01007836,1.0,0.0
E01007838,0.0,1.0
E01007841,0.0,1.0
E01007842,0.0,1.0
E01007843,1.0,0.0
E01007846,0.0,1.0
E01007847,0.0,1.0
E01007848,0.0,1.0
E01007850,0.0,1.0
E01007851,0.0,1.0
E01007853,0.0,1.0
E01007855,1.0,0.0
E01007856,0.0,1.0
E01007857,1.0,0.0
E01007858,1.0,0.0
E01007859,1.0,0.0
E01007861,0.0,1.0
E01007862,1.0,0.0
E01007864,0.0,1.0
E01007869,1.0,0.0
E01007871,0.0,1.0
E01007872,0.0,1.0
E01007874,0.0,1.0
E01007875,0.0,1.0
E01007878,0.0,1.0
E01007881,1.0,0.0
E01007882,1.0,0.0
E01007886,0.0,1.0
E01007887,0.0,1.0
E01007888,1.0,0.0
E01007890,0.0,1.0
E01007895,0.0,1.0
E01007896,0.0,1.0
E01007899,1.0,0.0
E01007900,1.0,0.0
E01007907,1.0,0.0
E01007908,1.0,0.0
E01007914,0.0,1.0
E01007915,1.0,0.0
E01007918,1.0,0.0
E01007919,0.0,1.0
E01007922,0.0,1.0
E01007924,1.0,0.0
E01007929,1.0,0.0
E01007930,0.0,1.0
E01007931,0.0,1.0
E01007935,1.0,0.0
E01007936,1.0,0.0
E01007937,0.0,1.0
E01007938,1.0,0.0
E01007940,0.0,1.0
E01007941,1.0,0.0
E01007943,1.0,0.0
E01007944,1.0,0.0
E01007945,1.0,0.0
E01007946,0.0,1.0
E01007948,0.0,1.0
E01007949,0.0,1.0
E01007950,0.0,1.0
E01007951,1.0,0.0
E01007952,0.0,1.0
E01007954,0.0,1.0
E01007955,0.0,1.0
E01007957,0.0,1.0
E01007960,1.0,0.0
E01007962,1.0,0.0
E01007964,1.0,0.0
E01007965,0.0,1.0
E01007966,1.0,0.0
E01007967,0.0,1.0
E01007968,0.0,1.0
E01007969,1.0,0.0
E01007970,1.0,0.0
E01007971,0.0,1.0
E01007972,0.0,1.0
E01007973,0.0,1.0
E01007975,1.0,0.0
E01007977,1.0,0.0
E01007978,1.0,0.0
E01007979,1.0,0.0
E01007980,0.0,1.0
E01007982,0.0,1.0
E01007983,1.0,0.0
E01007984,1.0,0.0
E01007987,0.0,1.0
E01007988,0.0,1.0
E01007989,0.0,1.0
E01007990,0.0,1.0
E01007992,0.0,1.0
E01007993,0.0,1.0
E01007994,0.0,1.0
E01007995,1.0,0.0
E01007997,0.0,1.0
E01007998,1.0,0.0
E01007999,0.0,1.0
E01008000,1.0,0.0
E01008001,1.0,0.0
E01008002,0.0,1.0
E01008003,0.0,1.0
E01008005,1.0,0.0
E01008007,1.0,0.0
E01008008,1.0,0.0
E01008010,0.0,1.0
E01008011,1.0,0.0
E01008012,0.0,1.0
E01008013,1.0,0.0
E01008018,1.0,0.0
E01008020,1.0,0.0
E01008021,1.0,0.0
E01008022,1.0,0.0
E01008024,1.0,0.0
E01008027,1.0,0.0
E01008029,1.0,0.0
E01008032,0.0,1.0
E01008035,0.0,1.0
E01008036,0.0,1.0
E01008038,1.0,0.0
E01008042,1.0,0.0
E01008043,0.0,1.0
E01008044,1.0,0.0
E01008045,1.0,0.0
E01008047,1.0,0.0
E01008048,0.0,1.0
E01008049,1.0,0.0
E01008050,1.0,0.0
E01008051,0.0,1.0
E01008053,0.0,1.0
E01008054,0.0,1.0
E01008056,0.0,1.0
E01008057,1.0,0.0
E01008058,1.0,0.0
E01008059,1.0,0.0
E01008060,1.0,0.0
E01008063,1.0,0.0
E01008064,0.0,1.0
E01008066,1.0,0.0
E01008068,1.0,0.0
E01008069,0.0,1.0
E01008073,0.0,1.0
E01008074,0.0,1.0
E01008075,0.0,1.0
E01008076,0.0,1.0
E01008077,1.0,0.0
E01008080,1.0,0.0
E01008082,1.0,0.0
E01008083,1.0,0.0
E01008084,0.0,1.0
E01008085,0.0,1.0
E01008087,1.0,0.0
E01008090,1.0,0.0
E01008094,1.0,0.0
E01008095,1.0,0.0
E01008098,1.0,0.0
E01008099,1.0,0.0
E01008100,0.0,1.0
E01008101,0.0,1.0
E01008102,0.0,1.0
E01008103,0.0,1.0
E01008104,1.0,0.0
E01008105,1.0,0.0
E01008107,1.0,0.0
E01008108,1.0,0.0
E01008109,1.0,0.0
E01008111,1.0,0.0
E01008113,0.0,1.0
E01008114,1.0,0.0
E01008115,1.0,0.0
E01008116,1.0,0.0
E01008117,0.0,1.0
E01008119,1.0,0.0
E01008122,0.0,1.0
E01008123,0.0,1.0
E01008124,1.0,0.0
E01008125,0.0,1.0
E01008131,0.0,1.0
E01008132,1.0,0.0
E01008138,1.0,0.0
E01008139,1.0,0.0
E01008146,0.0,1.0
E01008150,0.0,1.0
E01008151,0.0,1.0
E01008155,0.0,1.0
E01008156,0.0,1.0
E01008157,0.0,1.0
E01008159,0.0,1.0
E01008160,1.0,0.0
E01032585,1.0,0.0
E01033261,0.0,1.0
E01033262,1.0,0.0
E01033263,0.0,1.0
E01033265,0.0,1.0
E01033266,0.0,1.0
E01033267,0.0,1.0
E01033271,1.0,0.0
E01033272,1.0,0.0
E01033274,0.0,1.0
E01033275,0.0,1.0
E01033276,0.0,1.0
E01033277,1.0,0.0
E01033279,1.0,0.0
