VehCat,ageRng,TotalVeh,TotalEmission
Mcy/PTRL,<2,1277,16435
Mcy/PTRL,2-3,2880,34701
Mcy/PTRL,4-7,5526,72052
Mcy/PTRL,8-15,3927,545
Mcy/PTRL,15+,441,0
PCr/DSL,<2,10745,1756631
PCr/DSL,2-3,81131,13039951
PCr/DSL,4-7,699128,87391059
PCr/DSL,8-15,1904458,243590151
PCr/DSL,15+,342197,55388601
PCr/heDSL,<2,1344,213033
PCr/heDSL,2-3,12771,1883105
PCr/heDSL,4-7,4794,523384
PCr/heDSL,8-15,3796,365059
PCr/ELEC,<2,28924,0
PCr/ELEC,2-3,97376,0
PCr/ELEC,4-7,44795,0
PCr/ELEC,8-15,5682,369
PCr/hePtr,<2,72214,7293524
PCr/hePtr,2-3,218082,22047635
PCr/hePtr,4-7,277359,24041956
PCr/hePtr,8-15,128933,11191872
PCr/hePtr,15+,7963,933948
PCr/PTRL,<2,76287,10597920
PCr/PTRL,2-3,295287,41765978
PCr/PTRL,4-7,927924,117814467
PCr/PTRL,8-15,1689466,216688652
PCr/PTRL,15+,693288,110388701
mBs/DSL,<2,280,77376
mBs/DSL,2-3,2245,226030
mBs/DSL,4-7,3859,346478
mBs/DSL,8-15,3268,84864
mBs/DSL,15+,482,46738
Bus/DSL,<2,127,0
Bus/DSL,2-3,177,0
Bus/DSL,4-7,1944,0
Bus/DSL,8-15,9380,0
Bus/DSL,15+,1,0
LGV/DSL,<2,27744,5395475
LGV/DSL,2-3,143772,28699570
LGV/DSL,4-7,299098,50028532
LGV/DSL,8-15,141869,19867403
LGV/DSL,15+,31933,1718
LGV/ELEC,<2,1355,840
LGV/ELEC,2-3,9177,0
LGV/ELEC,4-7,3867,0
LGV/ELEC,8-15,1093,0
HGV>12T/DSL,<2,1142,0
HGV>12T/DSL,2-3,4287,3094
HGV>12T/DSL,4-7,7407,202736
HGV>12T/DSL,8-15,5848,11871
HGV>12T/DSL,15+,325,271
HGV<12T/DSL,<2,3430,294
HGV<12T/DSL,2-3,10351,0
HGV<12T/DSL,4-7,22348,0
HGV<12T/DSL,8-15,7608,685
HGV<12T/DSL,15+,172,0
