set,date,month,day,hour,day_julian,temp,airpres,ws_10m,wd_10m,ws_24m,wd_24m,hum,value,density,date_unix,weekday
training,2023-01-24T00:00:00Z,1,24,15,24,9.649999999999999,1024.85,0.903,129.5,0.827,137.800049,77.95,23.049999999999997,272.9375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,1,24,0.6499999999999999,1025.6999999999998,0.313,78.339966,0.845,257.399902,84.4,32.64,13.125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,7,24,0.15,1026.6,0.699,126.900024,0.551,99.099976,86.6,37.305,143.75,1674518400,2
training,2023-01-24T00:00:00Z,1,24,9,24,1.8,1027.1,0.338,43.01001,0.588,24.149994,86.2,56.38,147.34375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,18,24,8.5,1025.9,1.401001,212.5,2.014,212.600098,79.55000000000001,25.61,198.28125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,2,24,0.30000000000000004,1026,0.312,210.100098,0.789,290,84.7,18.28,6.09375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,14,24,9.850000000000001,1024.7,1.09,132.800049,1.806999,125.699951,77.69999999999999,19.61,146.40625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,0,24,0.9,1025.6,0.589,135.600098,0.641,211,83.7,42.32,22.40625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,19,24,8.1,1025.4499999999998,1.490999,218.300049,2.187,211.600098,80,29.665,101.625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,17,24,8.8,1025.5500000000002,1.233,276.700195,1.951,278.799805,78.94999999999999,20.66,156.90625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,3,24,0,1025.95,0.636,47.859985,0.959,321,85.2,6.19,3.75,1674518400,2
training,2023-01-24T00:00:00Z,1,24,6,24,-0.25,1027.1,0.416,0,0.589,247.300049,86.2,27.475,54.15625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,8,24,0.95,1026.6999999999998,0.823,132.100098,0.813,202.399902,86.6,57.485,198.28125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,11,24,6.2,1026.3000000000002,0.377,328.200195,0.577,204.699951,82.3,31.25,115.84375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,12,24,8.850000000000001,1026,1.417,121.699951,2.067001,124.599976,79.44999999999999,18.744999999999997,129.09375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,22,24,7.85,1024.6,0.973,236.800049,1.475,238.5,81.4,18.18,64.15625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,23,24,7.9,1024.6,1.709,256.5,3.224998,252.300049,81.2,9.030000000000001,39.666666666666664,1674518400,2
training,2023-01-24T00:00:00Z,1,24,4,24,-0.2,1026.5,0.268,75.150024,0.742,248.699951,85.5,6.305000000000001,4.125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,16,24,9.25,1025.25,0.629,314,0.868,301.799805,78.25,12.165,173.34375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,10,24,3.5,1026.6999999999998,0.522,158.300049,1.066999,199.5,85,59.225,129.40625,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,5,24,-0.3,1026.75,0.259,223.800049,0.665,239.699951,86,23.080000000000002,16.875,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,13,24,10.3,1025.15,1.532,54.48999,1.687,55.73999,77.35,14.77,149.59821428571428,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,20,24,7.9,1024.95,1.129999,217.699951,1.879,220.600098,80.8,17.265,90.59375,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,21,24,7.8,1024.75,0.976,226.100098,1.163,222,81.1,31.77,76.09375,1674518400,2
training,2023-01-25T00:00:00Z,1,25,8,25,6.4,1019.65,0.695,12.529999,1.452999,282.600098,86.30000000000001,54.995000000000005,231.90625,1674604800,3
training,2023-01-25T00:00:00Z,1,25,2,25,5.45,1022.6500000000001,0.883,249.5,2.360001,249.399902,83.65,14.265,7.28125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,14,25,9.850000000000001,1015.65,2.487,266.299805,4.125,270.799805,80.85,19.57,193.375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,5,25,3.5999999999999996,1020.95,0.411,190.899902,0.545,354.100098,84.9,11.620000000000001,22.46875,1674604800,3
training,2023-01-25T00:00:00Z,1,25,10,25,9.4,1017.55,1.745001,252.100098,2.313,227.800049,83.30000000000001,22.77,149.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,7,25,4.25,1020.3,0.923,114.599976,1.424999,313.5,86.8,19.525,202.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,0,25,7,1023,1.200001,217.100098,1.761,219.300049,81.6,10.93,92.75,1674604800,3
training,2023-01-25T00:00:00Z,1,25,1,25,5.9,1022.85,1.146,226.5,1.899,239.300049,82.35,24.325000000000003,53.40625,1674604800,3
training,2023-01-25T00:00:00Z,1,25,23,25,5.6,1019,1.726999,300.200195,3.903,303.299805,75.4,15.59,65.04166666666667,1674604800,3
training,2023-01-25T00:00:00Z,1,25,22,25,5.75,1018.95,2.131001,310.700195,3.554001,302.899902,74.65,10.595,91.1875,1674604800,3
training,2023-01-25T00:00:00Z,1,25,21,25,6.25,1018,2.234001,321.399902,3.929001,321.700195,73.19999999999999,17.58,125.84375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,4,25,4.15,1021.75,0.466,266,0.958,321.399902,84.65,10.855,8.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,18,25,8.2,1016.9,2.223,318.299805,2.740002,307.600098,78.55,17.32,167.75,1674604800,3
training,2023-01-25T00:00:00Z,1,25,13,25,9.6,1016.3,3.061001,275.100098,5.118004,271,81.6,15.965,209.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,19,25,7.4,1016.9,2.632999,321.5,5.055,325.600098,77.45,15.82,138.40625,1674604800,3
training,2023-01-25T00:00:00Z,1,25,12,25,9.95,1016.85,2.163002,294,3.651001,283.5,80.9,12.670000000000002,193.9375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,15,25,10.1,1015.7,2.580002,293.200195,3.730999,279.299805,79.75,9.83,152.4375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,11,25,10.3,1017.8499999999999,0.587,79.109985,0.656,226.300049,80.8,11.895,181.675,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,3,25,4.7,1022.1,0.428,31.76001,0.939,240.800049,83.7,11.82,5.15625,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,6,25,3.3,1020.5,0.386,0,0.824,271.399902,85.65,25.009999999999998,67.09375,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,9,25,7.6,1018.1,1.219999,255.5,2.047001,236.399902,85.5,44.61,152.0625,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,16,25,9.75,1015.95,3.295002,297.399902,4.528999,288.5,77,17.075000000000003,151.125,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,17,25,8.65,1016.35,1.763,302.5,2.862,291.399902,78.05000000000001,13.170000000000002,141.8125,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,20,25,6.65,1017.4,1.948999,310.799805,3.229,312.899902,74.75,15.275,125.71875,1674604800,3
training,2023-01-26T00:00:00Z,1,26,0,26,5.2,1018.9,1.646,295.100098,3.303001,303.200195,76.1,9.780000000000001,25.25,1674691200,4
training,2023-01-26T00:00:00Z,1,26,9,26,6.9,1021.25,2.556,349.299805,4.969002,341.700195,76.35,17.619999999999997,202.19166666666666,1674691200,4
training,2023-01-26T00:00:00Z,1,26,22,26,5.65,1020.95,1.820999,323.600098,3.303001,322.200195,74.95,13.455000000000002,73.09375,1674691200,4
training,2023-01-26T00:00:00Z,1,26,14,26,7.949999999999999,1020.75,3.348999,5.701004,5.914001,350.100098,74.55,14.844999999999999,130.875,1674691200,4
training,2023-01-26T00:00:00Z,1,26,16,26,6.95,1021.8499999999999,2.105999,360,3.199001,357.299805,78,18.075,159.5,1674691200,4
training,2023-01-26T00:00:00Z,1,26,20,26,5.85,1021.4,1.190001,340.200195,2.252998,337.399902,74.5,22,157.15625,1674691200,4
training,2023-01-26T00:00:00Z,1,26,1,26,4.95,1018.9,1.443001,307,3.140999,314.100098,76.7,15.56,13.25,1674691200,4
training,2023-01-26T00:00:00Z,1,26,10,26,7.1,1021.65,2.387001,0.8,4.357002,342,76.85,17.314999999999998,154.5,1674691200,4
training,2023-01-26T00:00:00Z,1,26,8,26,6.5,1021.3,2.750999,354,4.407997,342.600098,76.1,20.12,257.4375,1674691200,4
training,2023-01-26T00:00:00Z,1,26,21,26,5.7,1021.05,1.257,313.399902,3.055,316.899902,74.30000000000001,13.51,88.48214285714286,1674691200,4
training,2023-01-26T00:00:00Z,1,26,4,26,5.550000000000001,1019.45,1.889,347.299805,3.272999,328.799805,75.3,14.585,37.3125,1674691200,4
training,2023-01-26T00:00:00Z,1,26,2,26,4.8,1018.8,1.794001,321.700195,3.730999,321.799805,76.55000000000001,18.62,9.020833333333334,1674691200,4
