Actual,Partial_Dep,Density,Partial,CriticalDensity,Capacity,TT,Pred
14.355,15.230935194223232,0,0,125,2450,0.9316770186335402,0
15.09,15.230935194223232,0,0,125,2450,0.9316770186335402,0
12.95,15.230935194223232,0,0,125,2450,0.9316770186335402,0
13.43,15.230935194223232,0,0,125,2450,0.9316770186335402,0
15.63,15.230935194223232,0,0,125,2450,0.9316770186335402,0
9.41,15.230935194223232,0.125,0,125,2450,0.9316770186336801,0.00175
15.37,15.235102693153944,0.25,0.004167498930712554,125,2450,0.9316770186357763,0.0035
15.35,15.235102693153944,0.25,0.004167498930712554,125,2450,0.9316770186357763,0.0035
13.24,15.235102693153944,0.25,0.004167498930712554,125,2450,0.9316770186357763,0.0035
14.32,15.235102693153944,0.25,0.004167498930712554,125,2450,0.9316770186357763,0.0035
14.795000000000002,15.235102693153944,0.25,0.004167498930712554,125,2450,0.9316770186357763,0.0035
10.655,15.238580781263437,0.375,0.007645587040205015,125,2450,0.9316770186448602,0.00525
13.61,15.238580781263437,0.375,0.007645587040205015,125,2450,0.9316770186448602,0.00525
8.15,15.237829675142343,0.5,0.006894480919111601,125,2450,0.9316770186693166,0.007
13.405,15.237829675142343,0.5,0.006894480919111601,125,2450,0.9316770186693166,0.007
16.49,15.239059867614545,0.625,0.008124673391312953,125,2450,0.9316770187208848,0.00875
12.86,15.23763037231942,0.75,0.006695178096189025,125,2450,0.9316770188146583,0.0105
13.9,15.237934714112026,0.875,0.00699951988879377,125,2450,0.9316770189690836,0.01225
13.295,15.237934714112026,0.875,0.00699951988879377,125,2450,0.9316770189690836,0.01225
14.905,15.238888174334438,1,0.007952980111205932,125,2450,0.9316770192059627,0.014
14.08,15.238888174334438,1,0.007952980111205932,125,2450,0.9316770192059627,0.014
14.875,15.238888174334438,1,0.007952980111205932,125,2450,0.9316770192059627,0.014
12.785,15.23977156196394,1.25,0.008836367740707729,125,2450,0.9316770200310557,0.0175
12.155,15.236395323844942,1.5,0.0054601296217100526,125,2450,0.9316770215314284,0.021
12.985,15.236395323844942,1.5,0.0054601296217100526,125,2450,0.9316770215314284,0.021
15.355,15.236384753081706,1.625,0.005449558858474646,125,2450,0.9316770226249843,0.02275
9.385,15.236384753081706,1.625,0.005449558858474646,125,2450,0.9316770226249843,0.02275
10.565,15.234491492697712,1.75,0.003556298474480357,125,2450,0.9316770240022358,0.0245
14.75,15.234491492697712,1.75,0.003556298474480357,125,2450,0.9316770240022358,0.0245
10.84,15.234491492697712,1.75,0.003556298474480357,125,2450,0.9316770240022358,0.0245
13.65,15.234491492697712,1.75,0.003556298474480357,125,2450,0.9316770240022358,0.0245
11.075,15.234491492697712,1.75,0.003556298474480357,125,2450,0.9316770240022358,0.0245
14.62,15.234491492697712,1.75,0.003556298474480357,125,2450,0.9316770240022358,0.0245
13.99,15.23630068241352,1.875,0.005365488190287593,125,2450,0.9316770257084627,0.02625
8.86,15.23630068241352,1.875,0.005365488190287593,125,2450,0.9316770257084627,0.02625
13.48,15.23630068241352,1.875,0.005365488190287593,125,2450,0.9316770257084627,0.02625
15.435,15.23630068241352,1.875,0.005365488190287593,125,2450,0.9316770257084627,0.02625
12.985,15.237562693985613,2,0.006627499762380751,125,2450,0.9316770277922981,0.028
17.645000000000003,15.237562693985613,2,0.006627499762380751,125,2450,0.9316770277922981,0.028
13.305,15.237562693985613,2,0.006627499762380751,125,2450,0.9316770277922981,0.028
16.205,15.237547064173809,2.125,0.006611869950576832,125,2450,0.9316770303057297,0.029750000000000002
